-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2025 through 06/30/2025 in LST
Location: Latitude  27.7033   Longitude 68.8589 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2025,6,6,8,459.85
2025,6,6,9,645.28
2025,6,6,10,791.75
2025,6,6,11,883.55
2025,6,6,12,937.9
2025,6,6,13,904.95
2025,6,6,14,811.35
2025,6,6,15,649.88
2025,6,6,16,452.35
2025,6,6,17,246.1
2025,6,6,18,77.9
2025,6,6,19,0.0
2025,6,6,20,0.0
2025,6,6,21,0.0
2025,6,6,22,0.0
2025,6,6,23,0.0
2025,6,7,0,0.0
2025,6,7,1,0.0
2025,6,7,2,0.0
2025,6,7,3,0.0
2025,6,7,4,0.0
2025,6,7,5,5.55
2025,6,7,6,95.6
2025,6,7,7,273.35
2025,6,7,8,480.3
2025,6,7,9,671.75
2025,6,7,10,823.12
2025,6,7,11,918.58
2025,6,7,12,978.3
2025,6,7,13,938.6
2025,6,7,14,834.17
2025,6,7,15,672.4
2025,6,7,16,469.67
2025,6,7,17,256.35
2025,6,7,18,86.53
2025,6,7,19,0.0
2025,6,7,20,0.0
2025,6,7,21,0.0
2025,6,7,22,0.0
2025,6,7,23,0.0
2025,6,8,0,0.0
2025,6,8,1,0.0
2025,6,8,2,0.0
2025,6,8,3,0.0
2025,6,8,4,0.0
2025,6,8,5,5.47
2025,6,8,6,93.8
2025,6,8,7,267.85
2025,6,8,8,474.48
2025,6,8,9,668.58
2025,6,8,10,825.2
2025,6,8,11,925.6
2025,6,8,12,968.28
2025,6,8,13,930.5
2025,6,8,14,829.38
2025,6,8,15,663.83
2025,6,8,16,453.95
2025,6,8,17,235.32
2025,6,8,18,74.32
2025,6,8,19,0.0
2025,6,8,20,0.0
2025,6,8,21,0.0
2025,6,8,22,0.0
2025,6,8,23,0.0
2025,6,9,0,0.0
2025,6,9,1,0.0
2025,6,9,2,0.0
2025,6,9,3,0.0
2025,6,9,4,0.0
2025,6,9,5,5.3
2025,6,9,6,89.57
2025,6,9,7,258.27
2025,6,9,8,467.42
2025,6,9,9,667.78
2025,6,9,10,829.92
2025,6,9,11,930.0
2025,6,9,12,967.83
2025,6,9,13,927.38
2025,6,9,14,823.7
2025,6,9,15,664.03
2025,6,9,16,471.55
2025,6,9,17,263.15
2025,6,9,18,85.07
2025,6,9,19,0.0
2025,6,9,20,0.0
2025,6,9,21,0.0
2025,6,9,22,0.0
2025,6,9,23,0.0
2025,6,10,0,0.0
2025,6,10,1,0.0
2025,6,10,2,0.0
2025,6,10,3,0.0
2025,6,10,4,0.0
2025,6,10,5,5.4
2025,6,10,6,91.38
2025,6,10,7,265.67
2025,6,10,8,473.52
2025,6,10,9,667.4
2025,6,10,10,820.85
2025,6,10,11,916.05
2025,6,10,12,960.9
2025,6,10,13,923.2
2025,6,10,14,803.1
2025,6,10,15,639.35
2025,6,10,16,444.73
2025,6,10,17,240.65
2025,6,10,18,77.93
2025,6,10,19,0.0
2025,6,10,20,0.0
2025,6,10,21,0.0
2025,6,10,22,0.0
2025,6,10,23,0.0
2025,6,11,0,0.0
2025,6,11,1,0.0
2025,6,11,2,0.0
2025,6,11,3,0.0
2025,6,11,4,0.0
2025,6,11,5,5.32
2025,6,11,6,92.15
2025,6,11,7,259.6
2025,6,11,8,464.8
2025,6,11,9,647.3
